Description,SUP,AD,SD,City,Total,Total H,(Alyssa) Latino_AN,(Alyssa) Latino_AN H,(Alyssa) Vietnamese_AN,(Alyssa) Vietnamese_AN H,(Alyssa) Chinese_AN,(Alyssa) Chinese_AN H
Total,,,,,,,,,,,,
Total,-,-,-,-,529649,248861,65323,39194,48245,21610,8872,5570
3036279,2,72,34,CITY OF SEAL BEACH COUNCIL DISTRICT 4,2231,890,209,115,32,16,74,41
3036317,2,72,34,CITY OF SEAL BEACH COUNCIL DISTRICT 2,21,15,4,3,0,0,0,0
3036318,2,72,34,CITY OF SEAL BEACH COUNCIL DISTRICT 4,85,31,1,1,9,3,5,3
3036320,2,72,34,CITY OF SEAL BEACH COUNCIL DISTRICT 2,646,379,106,74,8,6,13,10
3036325,2,72,34,CITY OF SEAL BEACH COUNCIL DISTRICT 2,14,10,2,2,0,0,0,0
3036329,2,72,34,CITY OF SEAL BEACH COUNCIL DISTRICT 3,132,84,14,13,1,1,0,0
3036339,2,72,34,CITY OF SEAL BEACH COUNCIL DISTRICT 3,955,579,111,85,5,3,0,0
3036340,2,72,34,CITY OF SEAL BEACH COUNCIL DISTRICT 3,2767,1187,193,120,32,20,42,20
3036346,2,72,34,CITY OF SEAL BEACH COUNCIL DISTRICT 1,1,1,0,0,0,0,0,0
3036347,2,72,34,CITY OF SEAL BEACH COUNCIL DISTRICT 1,287,167,11,8,1,1,3,2
3039201,1,72,34,CITY OF WESTMINSTER,2500,888,222,98,1390,521,49,28
3039233,1,72,34,CITY OF WESTMINSTER,283,134,7,6,221,107,2,2
3039234,1,72,34,CITY OF WESTMINSTER,4044,1477,456,198,2598,1020,42,33
3039243,1,72,34,CITY OF WESTMINSTER,356,159,24,14,228,105,8,6
3039274,1,72,34,CITY OF WESTMINSTER,218,139,27,20,35,21,0,0
3039275,1,72,34,CITY OF WESTMINSTER,2808,998,249,118,1205,453,68,40
3039317,1,72,34,CITY OF WESTMINSTER,1084,433,84,45,702,304,5,4
3039361,1,72,34,CITY OF WESTMINSTER,2516,1123,238,154,1407,613,46,34
3039364,1,72,34,CITY OF WESTMINSTER,2046,763,234,115,494,191,38,19
3039373,1,72,34,CITY OF WESTMINSTER,3446,1407,318,163,1715,743,44,32
3039376,1,72,34,CITY OF WESTMINSTER,1822,602,145,74,1133,399,11,9
3039378,1,72,34,CITY OF WESTMINSTER,2711,1108,243,139,1539,625,39,26
3043132,5,74,37,UNINC - EMERALD BAY,1065,422,33,21,3,2,6,2
3043133,5,74,37,UNINC - EMERALD BAY,1,1,0,0,0,0,0,0
3044111,5,74,37,CITY OF LAGUNA BEACH,785,375,53,41,1,1,4,4
3044113,5,74,37,CITY OF LAGUNA BEACH,1009,399,19,10,2,2,3,2
3044116,5,74,37,CITY OF LAGUNA BEACH,3552,1720,156,109,18,13,39,26
3044123,5,74,37,CITY OF LAGUNA BEACH,9,2,0,0,0,0,0,0
3044125,5,74,37,CITY OF LAGUNA BEACH,1075,472,45,33,4,2,20,11
3044126,5,74,37,CITY OF LAGUNA BEACH,1008,626,63,50,3,3,4,4
3044130,5,74,37,CITY OF LAGUNA BEACH,2019,984,78,65,5,4,18,13
3044138,5,74,37,CITY OF LAGUNA BEACH,2756,1507,188,144,4,4,15,13
3044140,5,74,37,CITY OF LAGUNA BEACH,1546,690,78,58,5,4,27,17
3044142,5,74,37,CITY OF LAGUNA BEACH,3013,1511,140,116,17,13,22,19
3044144,5,74,37,CITY OF LAGUNA BEACH,1665,905,219,152,3,3,8,8
3044145,5,74,37,CITY OF LAGUNA BEACH,2262,952,66,47,12,8,22,13
3044321,5,74,37,CITY OF LAGUNA BEACH,473,223,24,19,0,0,1,1
3045102,5,73,36,CITY OF ALISO VIEJO,2245,1101,162,105,49,30,61,38
3045104,5,73,36,CITY OF ALISO VIEJO,1992,1031,301,195,28,19,30,23
3045105,5,73,36,CITY OF ALISO VIEJO,3173,1689,389,283,17,16,111,70
3045109,5,73,36,CITY OF ALISO VIEJO,1704,779,187,118,55,32,41,25
3045115,5,73,36,CITY OF ALISO VIEJO,2095,1060,271,170,15,11,25,19
3045116,5,73,36,CITY OF ALISO VIEJO,3044,1428,256,166,50,28,74,49
3045117,5,73,36,CITY OF ALISO VIEJO,3227,1614,360,237,57,31,63,48
3045118,5,73,36,CITY OF ALISO VIEJO,2366,941,189,114,48,25,54,30
3045120,5,73,36,CITY OF ALISO VIEJO,1986,804,173,101,59,27,76,33
3045121,5,73,36,CITY OF ALISO VIEJO,2847,1417,331,220,38,28,60,44
3045122,5,73,36,CITY OF ALISO VIEJO,210,94,21,14,3,3,5,2
3045123,5,73,36,CITY OF ALISO VIEJO,1690,884,212,149,22,16,31,19
3045129,5,73,36,CITY OF ALISO VIEJO,1978,954,243,165,32,23,53,34
3045131,5,73,36,CITY OF ALISO VIEJO,2091,788,125,71,79,40,89,47
3045239,5,73,36,CITY OF ALISO VIEJO,834,331,99,50,38,18,40,19
3045240,5,73,36,CITY OF ALISO VIEJO,1495,687,130,91,33,18,45,30
3045352,5,73,36,CITY OF ALISO VIEJO,1315,713,251,170,25,14,18,12
3045353,5,73,36,CITY OF ALISO VIEJO,1091,601,206,140,5,3,7,7
3045371,5,73,36,CITY OF ALISO VIEJO,1218,563,529,257,8,8,15,12
3051069,2,74,37,UNINC - BAY VIEW,640,314,93,59,4,2,0,0
3052001,2,74,37,CITY OF COSTA MESA WARD 4,1276,687,675,387,21,14,14,11
3052002,2,74,37,CITY OF COSTA MESA WARD 2,909,578,198,143,66,34,12,11
3052003,2,74,37,CITY OF COSTA MESA WARD 6,1635,937,128,107,15,11,8,7
3052004,2,74,37,CITY OF COSTA MESA WARD 6,1479,744,101,76,6,5,5,4
3052009,2,74,37,CITY OF COSTA MESA WARD 6,2829,1523,384,257,16,10,15,11
3052010,2,74,37,CITY OF COSTA MESA WARD 2,720,513,157,131,9,6,4,4
3052011,2,74,37,CITY OF COSTA MESA WARD 1,2894,1286,471,276,44,24,21,16
3052016,2,74,37,CITY OF COSTA MESA WARD 4,1442,860,970,608,8,6,8,7
3052022,2,74,37,CITY OF COSTA MESA WARD 3,1785,813,216,121,24,15,11,8
3052024,2,74,37,CITY OF COSTA MESA WARD 3,1315,685,251,158,13,12,9,8
3052025,2,74,37,CITY OF COSTA MESA WARD 3,555,338,135,103,8,6,5,5
3052026,2,74,37,CITY OF COSTA MESA WARD 3,474,265,65,37,3,3,7,6
3052027,2,74,37,CITY OF COSTA MESA WARD 2,95,44,17,9,0,0,1,1
3052029,2,74,37,CITY OF COSTA MESA WARD 6,170,114,27,20,0,0,3,2
3052031,2,74,37,CITY OF COSTA MESA WARD 3,1838,1058,234,165,9,5,18,15
3052032,2,74,37,CITY OF COSTA MESA WARD 5,1535,918,653,416,21,17,12,10
3052033,2,74,37,CITY OF COSTA MESA WARD 3,599,333,68,46,5,5,2,2
3052034,2,74,37,CITY OF COSTA MESA WARD 5,2292,916,631,268,15,10,8,8
3052035,2,74,37,CITY OF COSTA MESA WARD 6,1648,767,121,73,5,4,7,5
3052037,2,74,37,CITY OF COSTA MESA WARD 3,2800,1205,695,384,167,88,41,24
3052042,2,74,37,CITY OF COSTA MESA WARD 2,2725,1237,647,350,98,54,20,15
3052043,2,74,37,CITY OF COSTA MESA WARD 2,2139,1002,404,226,113,59,33,26
3052044,2,74,37,CITY OF COSTA MESA WARD 2,1032,568,187,120,43,26,26,19
3052045,2,74,37,CITY OF COSTA MESA WARD 1,1674,777,185,130,33,24,14,8
3052047,2,74,37,CITY OF COSTA MESA WARD 6,97,51,5,5,0,0,0,0
3052048,2,74,37,CITY OF COSTA MESA WARD 6,147,59,9,5,0,0,2,2
3052049,2,74,37,CITY OF COSTA MESA WARD 6,84,47,11,8,2,1,0,0
3052051,2,74,37,CITY OF COSTA MESA WARD 1,2142,866,160,90,36,20,14,13
3052052,2,74,37,CITY OF COSTA MESA WARD 6,441,207,43,30,3,2,4,2
3052053,2,74,37,CITY OF COSTA MESA WARD 1,1844,1080,396,252,63,38,26,18
3052057,2,74,37,CITY OF COSTA MESA WARD 4,286,181,198,130,3,3,0,0
3052058,2,74,37,CITY OF COSTA MESA WARD 4,635,340,235,102,40,33,0,0
3052059,2,74,37,CITY OF COSTA MESA WARD 3,1294,715,279,196,7,7,12,9
3052062,2,74,37,CITY OF COSTA MESA WARD 5,998,582,254,163,24,14,8,8
3052063,2,74,37,CITY OF COSTA MESA WARD 3,322,231,61,52,2,2,1,1
3052064,2,74,37,CITY OF COSTA MESA WARD 6,64,23,5,4,0,0,0,0
3052065,2,74,37,CITY OF COSTA MESA WARD 1,1822,824,140,94,22,17,14,9
3052066,2,74,37,CITY OF COSTA MESA WARD 4,37,11,20,6,0,0,0,0
